KD_KPP,NAMA_KANTOR,NAMA_KANWIL,WP_BENDAHARA,WP_BADAN,WP_OP_KARYAWAN,WP_OP_PENGUSAHA,JUMLAH_FPP,JUMLAH_AR,REALISASI_ANGGARAN,KEPATUHAN_SPT,CAPAIAN_PENERIMAAN,PERTUMBUHAN_PENERIMAAN,SP2DK_TERBIT,SP2DK_CAIR,PEMERIKSAAN_SELESAI
1,KPP Pratama Jakarta Matraman,KANTOR WILAYAH DJP JAKARTA TIMUR,36,4297,31733,4922,7,30,7211834457,103.06,138.82,20.07,1463,1786,185
2,KPP Pratama Jakarta Jatinegara,KANTOR WILAYAH DJP JAKARTA TIMUR,50,6610,46783,10206,21,35,9785803301,104.84,119.84,-13.67,2839,2243,586
3,KPP Pratama Jakarta Pulogadung,KANTOR WILAYAH DJP JAKARTA TIMUR,43,6970,41693,6421,14,34,9611797295,118.38,147.61,128.02,1741,1694,362
4,KPP Pratama Jakarta Cakung,KANTOR WILAYAH DJP JAKARTA TIMUR,67,5219,68044,12077,14,35,9450352092,103.63,126.71,60.66,1788,1542,274
5,KPP Pratama Jakarta Kramat Jati,KANTOR WILAYAH DJP JAKARTA TIMUR,109,4841,57151,4598,14,36,9534814210,110.77,145.5,79.08,2278,2341,287
7,KPP Madya Jakarta Timur,KANTOR WILAYAH DJP JAKARTA TIMUR,1,1112,138,44,30,30,8323002554,100.0,116.52,18.9,656,420,219
8,KPP Pratama Jakarta Duren Sawit,KANTOR WILAYAH DJP JAKARTA TIMUR,47,5662,49788,6570,14,33,10949169907,102.58,120.94,23.19,2149,2359,440
9,KPP Pratama Jakarta Pasar Rebo,KANTOR WILAYAH DJP JAKARTA TIMUR,192,7843,101323,16253,13,41,10526100206,122.03999999999999,172.71,246.42,2664,3241,335
11,KPP Pratama Jakarta Setiabudi Satu,KANTOR WILAYAH DJP JAKARTA SELATAN I,39,9109,7514,1698,24,32,10525228556,110.49,131.62,139.99,1882,1873,365
12,KPP Pratama Jakarta Kebayoran Baru Satu,KANTOR WILAYAH DJP JAKARTA SELATAN II,201,11138,9841,1839,21,24,7723796990,92.7,132.81,60.56,631,476,618
13,KPP Pratama Jakarta Kebayoran Lama,KANTOR WILAYAH DJP JAKARTA SELATAN II,34,10838,45828,7578,21,35,10351356765,94.94,113.35,65.31,1273,1305,522
14,KPP Pratama Jakarta Mampang Prapatan,KANTOR WILAYAH DJP JAKARTA SELATAN I,36,5581,22415,3475,24,34,10195949192,107.66,114.06,43.75,728,1008,335
15,KPP Pratama Jakarta Tebet,KANTOR WILAYAH DJP JAKARTA SELATAN I,23,10521,38620,5531,21,32,15578141693,100.56,111.04,12.97,909,1362,459
16,KPP Pratama Jakarta Cilandak,KANTOR WILAYAH DJP JAKARTA SELATAN II,29,8452,35622,5879,21,37,10826069377,95.03,132.05,31.41,1291,995,441
17,KPP Pratama Jakarta Pasar Minggu,KANTOR WILAYAH DJP JAKARTA SELATAN II,63,10474,47636,4380,21,34,12707418342,100.19,144.88,79.05,2254,1451,534
18,KPP Pratama Jakarta Setiabudi Dua,KANTOR WILAYAH DJP JAKARTA SELATAN I,13,3842,14896,2249,21,32,9683377630,102.30999999999999,119.06,52.42,476,1067,277
19,KPP Pratama Jakarta Kebayoran Baru Dua,KANTOR WILAYAH DJP JAKARTA SELATAN II,30,6300,17605,3450,20,29,10162648492,96.69,130.94,116.58,1091,1247,302
21,KPP Pratama Jakarta Menteng Satu,KANTOR WILAYAH DJP JAKARTA PUSAT,52,2685,2920,613,14,24,7474929905,102.63,161.15,110.12,989,469,170
22,KPP Pratama Jakarta Tanah Abang Satu,KANTOR WILAYAH DJP JAKARTA PUSAT,3,4677,4595,765,17,26,9558074458,100.74000000000001,110.72,55.16,634,547,283
23,KPP Pratama Jakarta Senen,KANTOR WILAYAH DJP JAKARTA PUSAT,214,3733,16060,4617,17,27,8871239913,98.74000000000001,146.48,72.7,1465,663,273
24,KPP Pratama Jakarta Cempaka Putih,KANTOR WILAYAH DJP JAKARTA PUSAT,75,2409,28667,6505,14,30,7986854203,96.23,130.7,17.28,753,487,215
25,KPP Pratama Jakarta Gambir Satu,KANTOR WILAYAH DJP JAKARTA PUSAT,320,2086,4300,1295,14,24,5819711376,97.37,155.17,190.34,490,309,179
26,KPP Pratama Jakarta Sawah Besar Satu,KANTOR WILAYAH DJP JAKARTA PUSAT,24,4365,7910,3201,14,25,7925030285,93.11,117.12,105.77,1327,601,358
27,KPP Pratama Jakarta Kemayoran,KANTOR WILAYAH DJP JAKARTA PUSAT,45,6769,31708,7243,14,34,12181043595,85.02,144.3,94.49,1934,1543,484
28,KPP Pratama Jakarta Gambir Dua,KANTOR WILAYAH DJP JAKARTA PUSAT,63,4788,7205,1909,21,23,6169987865,97.18,141.45,39.25,1036,1035,355
